year_film,year_ceremony,ceremony,Category,gender,name,Race,film,winner
1945,1946,18,ART DIRECTION (Black-and-White),Male,"Art Direction:  Cedric Gibbons, Hans Peters;  Interior Decoration:  Edwin B. Willis, Hugh Hunt, John Bonar",White,The Picture of Dorian Gray,0
1945,1946,18,ART DIRECTION (Color),Male,"Art Direction:  Hans Dreier, Ernst Fegte;  Interior Decoration:  Sam Comer",White,Frenchman's Creek,1
1945,1946,18,ART DIRECTION (Color),Male,"Art Direction:  Lyle Wheeler, Maurice Ransford;  Interior Decoration:  Thomas Little",White,Leave Her to Heaven,0
1945,1946,18,ART DIRECTION (Color),Female,"Art Direction:  Cedric Gibbons, Urie McCleary;  Interior Decoration:  Edwin B. Willis, Mildred Griffiths",White,National Velvet,0
1945,1946,18,ART DIRECTION (Color),Male,Art Direction:  Ted Smith;  Interior Decoration:  Jack McConaghy,White,San Antonio,0
1945,1946,18,ART DIRECTION (Color),Male,"Art Direction:  Stephen Goosson, Rudolph Sternad;  Interior Decoration:  Frank Tuttle",White,A Thousand and One Nights,0
1945,1946,18,CINEMATOGRAPHY,Male,Arthur Miller,White,The Keys of the Kingdom,0
1945,1946,18,CINEMATOGRAPHY,Male,John F. Seitz,White,The Lost Weekend,0
1945,1946,18,CINEMATOGRAPHY,Male,Ernest Haller,White,Mildred Pierce,0
1945,1946,18,CINEMATOGRAPHY,Male,Harry Stradling,White,The Picture of Dorian Gray,1
1945,1946,18,CINEMATOGRAPHY,Male,George Barnes,White,Spellbound,0
1945,1946,18,CINEMATOGRAPHY,Male,"Robert Planck, Charles Boyle",White,Anchors Aweigh,0
1945,1946,18,CINEMATOGRAPHY,Male,Leon Shamroy,White,Leave Her to Heaven,1
1945,1946,18,CINEMATOGRAPHY,Male,Leonard Smith,White,National Velvet,0
1945,1946,18,CINEMATOGRAPHY,Male,"Tony Gaudio, Allen M. Davey",White,A Song to Remember,0
1945,1946,18,CINEMATOGRAPHY,Male,George Barnes,White,The Spanish Main,0
1945,1946,18,DIRECTING,Male,Leo McCarey,White,The Bells of St. Mary's,0
1945,1946,18,DIRECTING,Male,Billy Wilder,White,The Lost Weekend,1
1945,1946,18,DIRECTING,Male,Clarence Brown,White,National Velvet,0
1945,1946,18,DIRECTING,Male,Jean Renoir,White,The Southerner,0
1945,1946,18,DIRECTING,Male,Alfred Hitchcock,White,Spellbound,0
1945,1946,18,DOCUMENTARY (Feature),Male,United States Army Air Force,White,The Last Bomb,0
1945,1946,18,DOCUMENTARY (Feature),Male,The Governments of Great Britain and the United States of America,White,The True Glory,1
1945,1946,18,DOCUMENTARY (Short Subject),Male,"Gordon Hollingshead, Producer",White,Hitler Lives?,1
1945,1946,18,DOCUMENTARY (Short Subject),Male,United States Office of War Information Overseas Motion Picture Bureau,White,Library of Congress,0
1945,1946,18,DOCUMENTARY (Short Subject),Male,United States Marine Corps,White,To the Shores of Iwo Jima,0
1945,1946,18,FILM EDITING,Male,Harry Marker,White,The Bells of St. Mary's,0
1945,1946,18,FILM EDITING,Male,Doane Harrison,White,The Lost Weekend,0
1945,1946,18,FILM EDITING,Male,Robert J. Kern,White,National Velvet,1
1945,1946,18,FILM EDITING,Male,George Amy,White,"Objective, Burma!",0
1945,1946,18,FILM EDITING,Male,Charles Nelson,White,A Song to Remember,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Robert Emmett Dolan,White,The Bells of St. Mary's,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Lou Forbes,White,Brewster's Millions,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Werner Janssen,White,Captain Kidd,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Roy Webb,White,The Enchanted Cottage,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,"Morton Scott, Dale Butts",White,Flame of Barbary Coast,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Edward J. Kay,White,G. I. Honeymoon,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Female,"Louis Applebaum, Ann Ronell",White,G. I. Joe,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Werner Janssen,White,Guest in the House,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Daniele Amfitheatrof,White,Guest Wife,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Alfred Newman,White,The Keys of the Kingdom,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Miklos Rozsa,White,The Lost Weekend,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Victor Young,White,Love Letters,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Karl Hajos,White,The Man Who Walked Alone,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Franz Waxman,White,"Objective, Burma!",0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Alexander Tansman,White,Paris--Underground,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,"Miklos Rozsa, Morris Stoloff",White,A Song to Remember,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Werner Janssen,White,The Southerner,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Miklos Rozsa,White,Spellbound,1
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,H. J. Salter,White,This Love of Ours,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Herbert Stothart,White,The Valley of Decision,0
1945,1946,18,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,"Arthur Lange, Hugo Friedhofer",White,The Woman in the Window,0
1945,1946,18,MUSIC (Scoring of a Musical Picture),Male,Georgie Stoll,White,Anchors Aweigh,1
1945,1946,18,MUSIC (Scoring of a Musical Picture),Male,Arthur Lange,White,Belle of the Yukon,0
1945,1946,18,MUSIC (Scoring of a Musical Picture),Male,"Jerome Kern, H. J. Salter",White,Can't Help Singing,0
1945,1946,18,MUSIC (Scoring of a Musical Picture),Male,Morton Scott,White,Hitchhike to Happiness,0
1945,1946,18,MUSIC (Scoring of a Musical Picture),Male,Robert Emmett Dolan,White,Incendiary Blonde,0
1945,1946,18,MUSIC (Scoring of a Musical Picture),Male,"Ray Heindorf, Max Steiner",White,Rhapsody in Blue,0
1945,1946,18,MUSIC (Scoring of a Musical Picture),Male,"Alfred Newman, Charles Henderson",White,State Fair,0
1945,1946,18,MUSIC (Scoring of a Musical Picture),Male,Edward J. Kay,White,Sunbonnet Sue,0
1945,1946,18,MUSIC (Scoring of a Musical Picture),Male,"Charles Wolcott, Edward Plumb, Paul J. Smith",White,The Three Caballeros,0
1945,1946,18,MUSIC (Scoring of a Musical Picture),Male,"Marlin Skiles, Morris Stoloff",White,Tonight and Every Night,0
1945,1946,18,MUSIC (Scoring of a Musical Picture),Male,Walter Greene,White,Why Girls Leave Home,0
1945,1946,18,MUSIC (Scoring of a Musical Picture),Male,"Ray Heindorf, Lou Forbes",White,Wonder Man,0
1945,1946,18,MUSIC (Song),Male,Music by Harold Arlen; Lyrics by Johnny Mercer,White,Here Come the Waves,0
1945,1946,18,MUSIC (Song),Male,Music by Jule Styne; Lyrics by Sammy Cahn,White,Tonight and Every Night,0
1945,1946,18,MUSIC (Song),Male,Music by James Van Heusen; Lyrics by Johnny Burke,White,The Bells of St. Mary's,0
1945,1946,18,MUSIC (Song),Male,Music by Jay Livingston; Lyrics by Ray Evans,White,Why Girls Leave Home,0
1945,1946,18,MUSIC (Song),Male,Music by Walter Kent; Lyrics by Kim Gannon,White,Earl Carroll Vanities,0
1945,1946,18,MUSIC (Song),Male,Music by Jule Styne; Lyrics by Sammy Cahn,White,Anchors Aweigh,0
1945,1946,18,MUSIC (Song),Female,Music by Allie Wrubel; Lyrics by Herb Magidson,White,Sing Your Way Home,0
1945,1946,18,MUSIC (Song),Male,Music by Richard Rodgers; Lyrics by Oscar Hammerstein II,White,State Fair,1
1945,1946,18,MUSIC (Song),Female,Music and Lyrics by Ann Ronell,White,G. I. Joe,0
1945,1946,18,MUSIC (Song),Male,Music by Victor Young; Lyrics by Eddie Heyman,White,Love Letters,0
1945,1946,18,MUSIC (Song),Male,Music by Jerome Kern; Lyrics by E. Y. Harburg,White,Can't Help Singing,0
1945,1946,18,MUSIC (Song),Male,Music by James Van Heusen; Lyrics by Johnny Burke,White,Belle of the Yukon,0
1945,1946,18,MUSIC (Song),Male,Music by David Rose; Lyrics by Leo Robin,White,Wonder Man,0
1945,1946,18,MUSIC (Song),Male,Music by Ray Heindorf and M. K. Jerome; Lyrics by Ted Koehler,White,San Antonio,0
1945,1946,18,BEST PICTURE,Male,Metro-Goldwyn-Mayer,White,Anchors Aweigh,0
1945,1946,18,BEST PICTURE,Male,Rainbow Productions,White,The Bells of St. Mary's,0
1945,1946,18,BEST PICTURE,Male,Paramount,White,The Lost Weekend,1
1945,1946,18,BEST PICTURE,Male,Warner Bros.,White,Mildred Pierce,0
1945,1946,18,BEST PICTURE,Male,Selznick International Pictures,White,Spellbound,0
1945,1946,18,SHORT SUBJECT (Cartoon),Male,"Walt Disney, Producer",White,Donald's Crime,0
1945,1946,18,SHORT SUBJECT (Cartoon),Male,"George Pal, Producer",White,Jasper and the Beanstalk,0
1945,1946,18,SHORT SUBJECT (Cartoon),Male,"Eddie Selzer, Producer",White,Life with Feathers,0
1945,1946,18,SHORT SUBJECT (Cartoon),Male,"Paul Terry, Producer",White,Mighty Mouse in Gypsy Life,0
1945,1946,18,SHORT SUBJECT (Cartoon),Male,"Walter Lantz, Producer",White,The Poet and Peasant,0
1945,1946,18,SHORT SUBJECT (Cartoon),Male,"Frederick Quimby, Producer",White,Quiet Please!,1
1945,1946,18,SHORT SUBJECT (Cartoon),Male,Screen Gems,White,Rippling Romance,0
1945,1946,18,SHORT SUBJECT (One-reel),Male,"Edmund Reek, Producer",White,Along the Rainbow Trail,0
1945,1946,18,SHORT SUBJECT (One-reel),Male,"Ralph Staub, Producer",White,Screen Snapshots' 25th Anniversary,0
1945,1946,18,SHORT SUBJECT (One-reel),Male,"Herbert Moulton, Producer;  Jerry Bresler, Executive Producer",White,Stairway to Light,1
1945,1946,18,SHORT SUBJECT (One-reel),Male,"Gordon Hollingshead, Producer",White,Story of a Dog,0
1945,1946,18,SHORT SUBJECT (One-reel),Male,"Grantland Rice, Producer",White,White Rhapsody,0
1945,1946,18,SHORT SUBJECT (One-reel),Male,"Joseph O'Brien and Thomas Mead, Producers",White,Your National Gallery,0
1945,1946,18,SHORT SUBJECT (Two-reel),Male,"Chester Franklin, Producer;  Jerry Bresler, Executive Producer",White,A Gun in His Hand,0
1945,1946,18,SHORT SUBJECT (Two-reel),Male,"Jules White, Producer",White,The Jury Goes Round 'N' Round,0
1945,1946,18,SHORT SUBJECT (Two-reel),Male,"George Templeton, Producer",White,The Little Witch,0
1945,1946,18,SHORT SUBJECT (Two-reel),Male,"Gordon Hollingshead, Producer",White,Star in the Night,1
1945,1946,18,SOUND RECORDING,Male,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director",White,The Bells of St. Mary's,1
1945,1946,18,SOUND RECORDING,Male,"Republic Studio Sound Department, Daniel J. Bloomberg, Sound Director",White,Flame of Barbary Coast,0
1945,1946,18,SOUND RECORDING,Male,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",White,Lady on a Train,0
1945,1946,18,SOUND RECORDING,Male,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",White,Leave Her to Heaven,0
1945,1946,18,SOUND RECORDING,Male,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",White,Rhapsody in Blue,0
1945,1946,18,SOUND RECORDING,Male,"Columbia Studio Sound Department, John P. Livadary, Sound Director",White,A Song to Remember,0
1945,1946,18,SOUND RECORDING,Male,"General Service, Jack Whitney, Sound Director",White,The Southerner,0
1945,1946,18,SOUND RECORDING,Male,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",White,They Were Expendable,0
1945,1946,18,SOUND RECORDING,Male,"Walt Disney Studio Sound Department, C. O. Slyfield, Sound Director",White,The Three Caballeros,0
1945,1946,18,SOUND RECORDING,Male,"RCA Sound, W. V. Wolfe, Sound Director",White,Three Is a Family,0
1945,1946,18,SOUND RECORDING,Male,"Paramount Studio Sound Department, Loren L. Ryder, Sound Director",White,The Unseen,0
1945,1946,18,SOUND RECORDING,Male,"Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director",White,Wonder Man,0
1945,1946,18,SPECIAL EFFECTS,Male,"Photographic Effects by Fred Sersen, Sol Halprin; Sound Effects by Roger Heman, Harry Leonard",White,Captain Eddie,0
1945,1946,18,SPECIAL EFFECTS,Male,Photographic Effects by Jack Cosgrove,White,Spellbound,0
1945,1946,18,SPECIAL EFFECTS,Male,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Robert A. MacDonald; Sound Effects by Michael Steinore",White,They Were Expendable,0
1945,1946,18,SPECIAL EFFECTS,Male,Photographic Effects by Lawrence W. Butler; Sound Effects by Ray Bomba,White,A Thousand and One Nights,0
1945,1946,18,SPECIAL EFFECTS,Male,Photographic Effects by John Fulton; Sound Effects by Arthur W. Johns,White,Wonder Man,1
1945,1946,18,WRITING (Original Motion Picture Story),Male,"Thomas Monroe, Laszlo Gorog",White,The Affairs of Susan,0
1945,1946,18,WRITING (Original Motion Picture Story),Male,Charles G. Booth,White,The House on 92nd Street,1
1945,1946,18,WRITING (Original Motion Picture Story),Male,"John Steinbeck, Jack Wagner",White,A Medal for Benny,0
1945,1946,18,WRITING (Original Motion Picture Story),Male,Alvah Bessie,White,"Objective, Burma!",0
1945,1946,18,WRITING (Original Motion Picture Story),Male,Ernst Marischka,White,A Song to Remember,0
1945,1946,18,WRITING (Original Screenplay),Male,Philip Yordan,White,Dillinger,0
1945,1946,18,WRITING (Original Screenplay),Male,Richard Schweizer,White,Marie-Louise,1
1945,1946,18,WRITING (Original Screenplay),Male,Myles Connolly,White,Music for Millions,0
1945,1946,18,WRITING (Original Screenplay),Male,Milton Holmes,White,Salty O'Rourke,0
1945,1946,18,WRITING (Original Screenplay),Male,Harry Kurnitz,White,"What Next, Corporal Hargrove?",0
1945,1946,18,WRITING (Adapted Screenplay),Male,"Leopold Atlas, Guy Endore, Philip Stevenson",White,G. I. Joe,0
1945,1946,18,WRITING (Adapted Screenplay),Male,"Charles Brackett, Billy Wilder",White,The Lost Weekend,1
1945,1946,18,WRITING (Adapted Screenplay),Male,Ranald MacDougall,White,Mildred Pierce,0
1945,1946,18,WRITING (Adapted Screenplay),Male,Albert Maltz,White,Pride of the Marines,0
1945,1946,18,WRITING (Adapted Screenplay),Female,"Tess Slesinger, Frank Davis",White,A Tree Grows in Brooklyn,0
1945,1946,18,SPECIAL AWARD,Male, Walter Wanger for his six years service as President of the Academy of Motion Picture Arts and Sciences.,White,,1
1945,1946,18,SPECIAL AWARD,Female, Peggy Ann Garner,White,,1
1945,1946,18,SPECIAL AWARD,Male, The House I Live In,White,,1
1945,1946,18,SPECIAL AWARD,Male, Republic Studio,White,,1
1946,1947,19,ART DIRECTION (Black-and-White),Male,"Art Direction:  Lyle Wheeler, William Darling;  Interior Decoration:  Thomas Little, Frank E. Hughes",White,Anna and the King of Siam,1
1946,1947,19,ART DIRECTION (Black-and-White),Male,"Art Direction:  Hans Dreier, Walter Tyler;  Interior Decoration:  Sam Comer, Ray Moyer",White,Kitty,0
1946,1947,19,ART DIRECTION (Black-and-White),Male,"Art Direction:  Richard Day, Nathan Juran;  Interior Decoration:  Thomas Little, Paul S. Fox",White,The Razor's Edge,0
1946,1947,19,ART DIRECTION (Color),Male,John Bryan,White,Caesar and Cleopatra,0
1946,1947,19,ART DIRECTION (Color),Female,"Art Direction:  Paul Sheriff, Carmen Dillon",White,Henry V,0
1946,1947,19,ART DIRECTION (Color),Male,"Art Direction:  Cedric Gibbons, Paul Groesse;  Interior Decoration:  Edwin B. Willis",White,The Yearling,1
1946,1947,19,CINEMATOGRAPHY,Male,Arthur Miller,White,Anna and the King of Siam,1
1946,1947,19,CINEMATOGRAPHY,Male,George Folsey,White,The Green Years,0
1946,1947,19,CINEMATOGRAPHY,Male,Joseph Walker,White,The Jolson Story,0
1946,1947,19,CINEMATOGRAPHY,Male,"Charles Rosher, Leonard Smith, Arthur Arling",White,The Yearling,1
1946,1947,19,DIRECTING,Male,William Wyler,White,The Best Years of Our Lives,1
1946,1947,19,DIRECTING,Male,David Lean,White,Brief Encounter,0
1946,1947,19,DIRECTING,Male,Frank Capra,White,It's a Wonderful Life,0
1946,1947,19,DIRECTING,Male,Robert Siodmak,White,The Killers,0
1946,1947,19,DIRECTING,Male,Clarence Brown,White,The Yearling,0
1946,1947,19,DOCUMENTARY (Short Subject),Male,The March of Time,White,Atomic Power,0
1946,1947,19,DOCUMENTARY (Short Subject),Male,Artkino,White,Life at the Zoo,0
1946,1947,19,DOCUMENTARY (Short Subject),Male,Paramount,White,Paramount News Issue #37 (Twentieth Anniversary Issue!  1927.....1947),0
1946,1947,19,DOCUMENTARY (Short Subject),Male,United States Department of War,White,Seeds of Destiny,1
1946,1947,19,DOCUMENTARY (Short Subject),Male,"Herbert Morgan, Producer",White,Traffic with the Devil,0
1946,1947,19,FILM EDITING,Male,Daniel Mandell,White,The Best Years of Our Lives,1
1946,1947,19,FILM EDITING,Male,William Hornbeck,White,It's a Wonderful Life,0
1946,1947,19,FILM EDITING,Male,William Lyon,White,The Jolson Story,0
1946,1947,19,FILM EDITING,Male,Arthur Hilton,White,The Killers,0
1946,1947,19,FILM EDITING,Male,Harold Kress,White,The Yearling,0
1946,1947,19,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Bernard Herrmann,White,Anna and the King of Siam,0
1946,1947,19,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Hugo Friedhofer,White,The Best Years of Our Lives,1
1946,1947,19,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,William Walton,White,Henry V,0
1946,1947,19,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Franz Waxman,White,Humoresque,0
1946,1947,19,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Miklos Rozsa,White,The Killers,0
1946,1947,19,MUSIC (Scoring of a Musical Picture),Male,Robert Emmett Dolan,White,Blue Skies,0
1946,1947,19,MUSIC (Scoring of a Musical Picture),Male,Alfred Newman,White,Centennial Summer,0
1946,1947,19,MUSIC (Scoring of a Musical Picture),Male,Lennie Hayton,White,The Harvey Girls,0
1946,1947,19,MUSIC (Scoring of a Musical Picture),Male,Morris Stoloff,White,The Jolson Story,1
1946,1947,19,MUSIC (Scoring of a Musical Picture),Male,"Ray Heindorf, Max Steiner",White,Night and Day,0
1946,1947,19,MUSIC (Song),Male,Music by Jerome Kern; Lyrics by Oscar Hammerstein II,White,Centennial Summer,0
1946,1947,19,MUSIC (Song),Male,Music by James Monaco; Lyrics by Mack Gordon,White,The Dolly Sisters,0
1946,1947,19,MUSIC (Song),Male,Music by Hoagy Carmichael; Lyrics by Jack Brooks,White,Canyon Passage,0
1946,1947,19,MUSIC (Song),Male,Music by Harry Warren; Lyrics by Johnny Mercer,White,The Harvey Girls,1
1946,1947,19,MUSIC (Song),Male,Music and Lyrics by Irving Berlin,White,Blue Skies,0
1946,1947,19,BEST PICTURE,Male,Samuel Goldwyn Productions,White,The Best Years of Our Lives,1
1946,1947,19,BEST PICTURE,Male,J. Arthur Rank-Two Cities Films,White,Henry V,0
1946,1947,19,BEST PICTURE,Male,Liberty Films,White,It's a Wonderful Life,0
1946,1947,19,BEST PICTURE,Male,20th Century-Fox,White,The Razor's Edge,0
1946,1947,19,BEST PICTURE,Male,Metro-Goldwyn-Mayer,White,The Yearling,0
1946,1947,19,SHORT SUBJECT (Cartoon),Male,"Frederick Quimby, Producer",White,The Cat Concerto,1
1946,1947,19,SHORT SUBJECT (Cartoon),Male,"Walter Lantz, Producer",White,Chopin's Musical Moments,0
1946,1947,19,SHORT SUBJECT (Cartoon),Male,"George Pal, Producer",White,John Henry and the Inky Poo,0
1946,1947,19,SHORT SUBJECT (Cartoon),Male,"Walt Disney, Producer",White,Squatter's Rights,0
1946,1947,19,SHORT SUBJECT (Cartoon),Male,"Edward Selzer, Producer",White,Walky Talky Hawky,0
1946,1947,19,SHORT SUBJECT (One-reel),Male,"Jack Eaton, Producer",White,Dive-Hi Champs,0
1946,1947,19,SHORT SUBJECT (One-reel),Male,"Gordon Hollingshead, Producer",White,Facing Your Danger,1
1946,1947,19,SHORT SUBJECT (One-reel),Male,"Edmund Reek, Producer",White,Golden Horses,0
1946,1947,19,SHORT SUBJECT (One-reel),Male,"Gordon Hollingshead, Producer",White,Smart as a Fox,0
1946,1947,19,SHORT SUBJECT (One-reel),Male,"Pete Smith, Producer",White,Sure Cures,0
1946,1947,19,SHORT SUBJECT (Two-reel),Male,"Gordon Hollingshead, Producer",White,A Boy and His Dog,1
1946,1947,19,SHORT SUBJECT (Two-reel),Male,"George B. Templeton, Producer",White,College Queen,0
1946,1947,19,SHORT SUBJECT (Two-reel),Male,"Jules White, Producer",White,Hiss and Yell,0
1946,1947,19,SHORT SUBJECT (Two-reel),Male,"Jerry Bresler, Producer",White,The Luckiest Guy in the World,0
1946,1947,19,SOUND RECORDING,Male,"Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director",White,The Best Years of Our Lives,0
1946,1947,19,SOUND RECORDING,Male,"RKO Radio Studio Sound Department, John Aalberg, Sound Director",White,It's a Wonderful Life,0
1946,1947,19,SOUND RECORDING,Male,"Columbia Studio Sound Department, John Livadary, Sound Director",White,The Jolson Story,1
1946,1947,19,SPECIAL EFFECTS,Male,Special Visual Effects by Thomas Howard,White,Blithe Spirit,1
1946,1947,19,SPECIAL EFFECTS,Male,Special Visual Effects by William McGann; Special Audible Effects by Nathan Levinson,White,A Stolen Life,0
1946,1947,19,WRITING (Original Motion Picture Story),Male,Vladimir Pozner,White,The Dark Mirror,0
1946,1947,19,WRITING (Original Motion Picture Story),Male,Jack Patrick,White,The Strange Love of Martha Ivers,0
1946,1947,19,WRITING (Original Motion Picture Story),Male,Victor Trivas,White,The Stranger,0
1946,1947,19,WRITING (Original Motion Picture Story),Male,Charles Brackett,White,To Each His Own,0
1946,1947,19,WRITING (Original Motion Picture Story),Male,Clemence Dane,White,Vacation from Marriage,1
1946,1947,19,WRITING (Original Screenplay),Male,Raymond Chandler,White,The Blue Dahlia,0
1946,1947,19,WRITING (Original Screenplay),Male,Jacques Prevert,White,Children of Paradise,0
1946,1947,19,WRITING (Original Screenplay),Male,Ben Hecht,White,Notorious,0
1946,1947,19,WRITING (Original Screenplay),Male,"Norman Panama, Melvin Frank",White,Road to Utopia,0
1946,1947,19,WRITING (Original Screenplay),Female,"Muriel Box, Sydney Box",White,The Seventh Veil,1
1946,1947,19,WRITING (Adapted Screenplay),Female,"Talbot Jennings, Sally Benson",White,Anna and the King of Siam,0
1946,1947,19,WRITING (Adapted Screenplay),Male,Robert E. Sherwood,White,The Best Years of Our Lives,1
1946,1947,19,WRITING (Adapted Screenplay),Male,"David Lean, Anthony Havelock-Allan, Ronald Neame",White,Brief Encounter,0
1946,1947,19,WRITING (Adapted Screenplay),Male,Anthony Veiller,White,The Killers,0
1946,1947,19,WRITING (Adapted Screenplay),Male,"Sergio Amidei, F. Fellini",White,Open City,0
1946,1947,19,SPECIAL AWARD,Male, Laurence Olivier for his outstanding achievement as actor,White,,1
1946,1947,19,SPECIAL AWARD,Male, Harold Russell for bringing hope and courage to his fellow veterans through his appearance in The Best Years of Our Lives.,White,,1
1946,1947,19,SPECIAL AWARD,Male, Ernst Lubitsch for his distinguished contributions to the art of the motion picture.,White,,1
1946,1947,19,SPECIAL AWARD,Male, Claude Jarman,White,,1
1946,1947,19,IRVING G. THALBERG MEMORIAL AWARD,Male,Samuel Goldwyn,White,,1
1947,1948,20,ART DIRECTION (Black-and-White),Male,"Art Direction:  Lyle Wheeler, Maurice Ransford;  Set Decoration:  Thomas Little, Paul S. Fox",White,The Foxes of Harrow,0
1947,1948,20,ART DIRECTION (Black-and-White),Male,Art Direction:  John Bryan;  Set Decoration:  Wilfred Shingleton,White,Great Expectations,1
1947,1948,20,ART DIRECTION (Color),Male,Art Direction:  Alfred Junge;  Set Decoration:  Alfred Junge,White,Black Narcissus,1
1947,1948,20,ART DIRECTION (Color),Male,Art Direction:  Robert M. Haas;  Set Decoration:  George James Hopkins,White,Life with Father,0
1947,1948,20,CINEMATOGRAPHY,Male,"Charles Lang, Jr.",White,The Ghost and Mrs. Muir,0
1947,1948,20,CINEMATOGRAPHY,Male,Guy Green,White,Great Expectations,1
1947,1948,20,CINEMATOGRAPHY,Male,George Folsey,White,Green Dolphin Street,0
1947,1948,20,CINEMATOGRAPHY,Male,Jack Cardiff,White,Black Narcissus,1
1947,1948,20,CINEMATOGRAPHY,Male,"Peverell Marley, William V. Skall",White,Life with Father,0
1947,1948,20,CINEMATOGRAPHY,Male,Harry Jackson,White,Mother Wore Tights,0
1947,1948,20,DIRECTING,Male,Henry Koster,White,The Bishop's Wife,0
1947,1948,20,DIRECTING,Male,Edward Dmytryk,White,Crossfire,0
1947,1948,20,DIRECTING,Male,George Cukor,White,A Double Life,0
1947,1948,20,DIRECTING,Male,Elia Kazan,White,Gentleman's Agreement,1
1947,1948,20,DIRECTING,Male,David Lean,White,Great Expectations,0
1947,1948,20,DOCUMENTARY (Feature),Male,"Sid Rogell, Executive Producer;  Theron Warth and Richard O. Fleischer, Producers",White,Design for Death,1
1947,1948,20,DOCUMENTARY (Feature),Male,United States Department of State Office of Information and Educational Exchange,White,Journey into Medicine,0
1947,1948,20,DOCUMENTARY (Feature),Male,"Paul Rotha, Producer",White,The World Is Rich,0
1947,1948,20,DOCUMENTARY (Short Subject),Male,United Nations Division of Films and Visual Information,White,First Steps,1
1947,1948,20,DOCUMENTARY (Short Subject),Male,"Frederic Ullman, Jr., Producer",White,Passport to Nowhere,0
1947,1948,20,DOCUMENTARY (Short Subject),Male,Australian News & Information Bureau,White,School in the Mailbox,0
1947,1948,20,FILM EDITING,Female,Monica Collingwood,White,The Bishop's Wife,0
1947,1948,20,FILM EDITING,Male,"Francis Lyon, Robert Parrish",White,Body and Soul,1
1947,1948,20,FILM EDITING,Male,Harmon Jones,White,Gentleman's Agreement,0
1947,1948,20,FILM EDITING,Male,George White,White,Green Dolphin Street,0
1947,1948,20,FILM EDITING,Male,Fergus McDonell,White,Odd Man Out,0
1947,1948,20,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Hugo Friedhofer,White,The Bishop's Wife,0
1947,1948,20,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Alfred Newman,White,Captain from Castile,0
1947,1948,20,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Dr. Miklos Rozsa,White,A Double Life,1
1947,1948,20,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,David Raksin,White,Forever Amber,0
1947,1948,20,MUSIC (Music Score of a Dramatic or Comedy Picture),Male,Max Steiner,White,Life with Father,0
1947,1948,20,MUSIC (Scoring of a Musical Picture),Male,Johnny Green,White,Fiesta,0
1947,1948,20,MUSIC (Scoring of a Musical Picture),Male,Alfred Newman,White,Mother Wore Tights,1
1947,1948,20,MUSIC (Scoring of a Musical Picture),Male,"Ray Heindorf, Max Steiner",White,My Wild Irish Rose,0
1947,1948,20,MUSIC (Scoring of a Musical Picture),Male,Robert Emmett Dolan,White,Road to Rio,0
